종목코드,종목명,현재가,전일대비,,등락률,거래량,시가,고가,저가
'032685,소프트센우,"26,650",↑,"6,150","+30.00%","16,945","24,500","26,650","24,500"
'036030,케이티알파,"7,770",↑,"1,790","+29.93%","7,586,254","6,540","7,770","6,480"
'108860,셀바스AI,"11,150",▲,"2,330","+26.42%","18,839,253","9,540","11,450","9,250"
'090360,로보스타,"26,850",▲,"5,600","+26.35%","6,935,065","21,450","27,600","20,750"
'004105,태양금속우,"3,895",▲,"730","+23.06%","5,152,439","3,120","4,110","3,020"
'237820,플레이디,"6,360",▲,"1,190","+23.02%","6,520,932","5,190","6,710","5,190"
'058850,KTcs,"2,630",▲,"445","+20.37%","20,504,765","2,305","2,840","2,270"
'336060,웨이버스,"1,980",▲,"295","+17.51%","61,021,497","1,745","2,145","1,720"
'315640,딥노이드,"7,520",▲,"1,070","+16.59%","2,122,132","6,450","7,760","6,300"
'331520,밸로프,"1,825",▲,"240","+15.14%","71,754,140","1,645","2,060","1,590"
'298690,에어부산,"3,780",▲,"490","+14.89%","8,265,215","3,310","3,845","3,295"
'106520,노블엠앤비,"1,995",▲,"255","+14.66%","2,707,296","1,765","1,995","1,765"
'394280,오픈엣지테크놀로지,"13,000",▲,"1,650","+14.54%","11,012,427","11,500","13,950","11,300"
'361570,알비더블유,"15,250",▲,"1,900","+14.23%","696,559","13,300","15,650","13,300"
'000547,흥국화재2우B,"21,400",▲,"2,650","+14.13%","13,775","18,750","23,400","18,750"
'099750,이지케어텍,"26,350",▲,"2,750","+11.65%","1,200,811","23,950","30,450","23,600"
'376980,원티드랩,"14,450",▲,"1,450","+11.15%","676,028","12,900","14,900","12,900"
'054920,한컴위드,"5,500",▲,"530","+10.66%","19,849,645","5,050","6,030","4,935"
'004870,티웨이홀딩스,"658",▲,"63","+10.59%","3,753,130","612","667","596"
'215100,로보로보,"7,650",▲,"670","+9.60%","11,971,566","7,070","8,100","7,050"
'226330,신테카바이오,"10,300",▲,"900","+9.57%","554,322","9,500","10,350","9,320"
'216050,인크로스,"14,900",▲,"1,300","+9.56%","600,062","13,450","15,650","13,400"
'019590,엠벤처투자,"1,040",▲,"90","+9.47%","6,085,971","978","1,085","963"
'054210,이랜텍,"13,900",▲,"1,200","+9.45%","3,032,189","13,000","13,900","12,800"
'047560,이스트소프트,"11,400",▲,"950","+9.09%","905,819","11,100","11,700","10,950"
'399720,가온칩스,"19,200",▲,"1,600","+9.09%","1,142,739","17,450","19,250","17,100"
'203450,유니온커뮤니티,"3,645",▲,"295","+8.81%","3,110,065","3,400","3,965","3,390"
'290090,트윔,"18,050",▲,"1,450","+8.73%","285,222","16,750","18,400","16,650"
'189330,씨이랩,"17,450",▲,"1,400","+8.72%","1,038,965","16,450","18,700","15,700"
'320000,윈텍,"3,000",▲,"240","+8.70%","868,019","2,760","3,030","2,740"
'123860,아나패스,"19,000",▲,"1,500","+8.57%","252,270","18,000","19,500","18,000"
'059270,해성티피씨,"6,640",▲,"520","+8.50%","5,065,295","6,180","7,420","6,010"
'321820,와이더플래닛,"5,960",▲,"460","+8.36%","204,423","5,530","6,140","5,530"
'328380,솔트웨어,"1,375",▲,"105","+8.27%","6,843,171","1,285","1,630","1,245"
'208370,셀바스헬스케어,"2,340",▲,"175","+8.08%","7,704,994","2,190","2,590","2,190"
'121800,비덴트,"4,605",▲,"265","+6.11%","15,923,606","4,345","4,900","4,300"
'030350,드래곤플라이,"838",▲,"44","+5.54%","10,677,767","800","914","797"
'067000,조이시티,"5,160",▲,"270","+5.52%","11,623,756","4,865","5,320","4,810"
'270520,지엔원에너지,"4,275",▲,"160","+3.89%","15,376,257","4,110","4,545","4,060"
'207760,미스터블루,"3,580",▲,"80","+2.29%","37,269,651","3,560","3,860","3,520"
'096300,베트남개발1,"213",▲,"4","+1.91%","205,918,758","211","244","204"
'298870,다올인베스트먼트,"3,630",▲,"60","+1.68%","41,993,060","3,920","4,175","3,620"
'187790,나노,"1,495", ,"0","0%","11,891,916","1,520","1,695","1,450"
'090710,휴림로봇,"2,680",▼,"-5","-0.19%","34,177,375","2,720","2,750","2,565"
'005930,삼성전자,"60,400",▼,"-600","-0.98%","11,492,737","60,700","61,000","59,900"
'159910,스킨앤스킨,"230",▼,"-4","-1.71%","10,598,589","235","235","221"
'297570,알로이스,"2,035",▼,"-60","-2.86%","13,355,520","2,235","2,245","2,015"
'380540,옵티코어,"3,345",▼,"-115","-3.32%","18,890,376","3,635","3,725","3,245"
'053590,한국테크놀로지,"481",▼,"-33","-6.42%","44,550,722","514","547","473"
'102280,쌍방울,"359",▼,"-25","-6.51%","17,698,072","384","388","354"
'152550,한국ANKOR유전,"208",▼,"-41","-16.47%","23,156,205","242","242","203"
